2025-10-19 09:57:00 | Add | 0, 0 = 0
2025-10-23 12:47:16 | Math Quiz | 0, 0 = 1
2025-10-23 12:47:53 | Games | 0, 0 = 1
2025-10-23 12:48:45 | Full Eqation | 0, 0 = 10
2025-10-23 12:49:11 | Games | 0, 0 = 1
2025-10-23 12:51:33 | Weather | 0, 0 = 1
2025-10-23 14:44:46 | Weather | 0, 0 = 1
2025-10-23 14:57:26 | Random Sayings | 0, 0 = 0
2025-10-24 10:25:16 | Add | 1.0, 2.0 = 1
2025-10-24 10:57:43 | Add | 1.0, 4.0 = 5.0
2025-10-24 15:41:58 | Add | 5.0, 7.0 = 12.0
2025-10-24 16:04:49 | Add | 5.0, 7.0 = 12.0
2025-10-24 16:05:26 | Weather | 0, 0 = None
2025-10-24 17:00:07 | Add | 5.0, 7.0 = 12.0
2025-10-24 17:04:33 | Add | 4.0, 9.0 = 13.0
2025-10-24 17:05:11 | Multiply | 4.0, 9.0 = 36.0
2025-10-24 17:10:52 | Add | 4.0, 8.0 = 12.0
2025-10-24 17:17:56 | Weather | 0, 0 = None
2025-10-24 17:19:10 | Date and Time | 0, 0 = None
2025-10-24 17:20:12 | Date and Time | 0, 0 = None
2025-10-24 17:22:58 | Leave | 0, 0 = 1
2025-10-25 22:06:30 | jokes | 0, 0 = None
2025-10-25 22:09:20 | jokes | 0, 0 = None
2025-10-25 22:12:33 | magic8ball | 0, 0 = None
2025-10-25 22:16:34 | ASCIIart | 0, 0 = None
2025-10-25 22:24:32 | sign out | 0, 0 = signout
2025-10-25 22:29:18 | sign out | 0, 0 = signout
2025-10-25 22:52:38 | sign out | 0, 0 = signout
2025-10-25 22:56:14 | sign out | 0, 0 = signout
2025-10-25 23:05:56 | sign out | 0, 0 = signout
2025-10-25 23:10:05 | sign out | 0, 0 = signout
2025-10-26 08:34:13 | prime Checker | 0, 0 = False
2025-10-26 08:36:26 | prime Checker | 0, 0 = False
2025-10-26 08:37:49 | prime Checker | 5.0, 6.0 = None
2025-10-26 08:39:08 | prime Checker | 5.0, 0 = None
2025-10-26 08:43:13 | prime Checker | 5.0, 0 = None
2025-10-26 08:45:03 | prime Checker | 5.0, 0 = None
2025-10-26 08:49:28 | prime Checker | 5.0, 0 = None
2025-10-26 08:51:36 | prime Checker | 5.0, 0 = None
2025-10-26 08:53:24 | prime Checker | 5.0, 0 = None
2025-10-26 08:54:25 | prime Checker | 5.0, 0 = None
2025-10-26 08:55:37 | prime Checker | 5.0, 0 = None
2025-10-26 08:56:40 | prime Checker | 5.0, 0 = None
2025-10-26 10:05:47 | jokes | 0, 0 = None
2025-10-26 10:06:45 | jokes | 0, 0 = None
2025-10-26 10:11:35 | jokes | 0, 0 = None
2025-10-26 11:52:59 | Signed In | 0, 0 = None
2025-10-26 11:55:11 | Signed In | 0, 0 = None
2025-10-26 12:26:10 | ASCII art | 0, 0 = None
2025-10-26 12:27:14 | ASCII art | 0, 0 = None
2025-10-26 13:29:58 | ASCII art | 0, 0 = None
2025-10-26 18:04:29 | Leave | 0, 0 = 1
2025-10-27 08:05:01 | Signed In | 0, 0 = None
2025-10-28 15:55:02 | Signed In | 0, 0 = None
